KEY - `	VK - C0	SCAN - 29
KEY - 1	VK - 31	SCAN - 2
KEY - 2	VK - 32	SCAN - 3
KEY - 3	VK - 33	SCAN - 4
KEY - 4	VK - 34	SCAN - 5
KEY - 5	VK - 35	SCAN - 6
KEY - 6	VK - 36	SCAN - 7
KEY - 7	VK - 37	SCAN - 8
KEY - 8	VK - 38	SCAN - 9
KEY - 9	VK - 39	SCAN - A
KEY - 0	VK - 30	SCAN - B
KEY - -	VK - BD	SCAN - C
KEY - =	VK - BB	SCAN - D
KEY - Tab	VK - 9	SCAN - F
KEY - Q	VK - 51	SCAN - 10
KEY - W	VK - 57	SCAN - 11
KEY - E	VK - 45	SCAN - 12
KEY - R	VK - 52	SCAN - 13
KEY - T	VK - 54	SCAN - 14
KEY - Y	VK - 59	SCAN - 15
KEY - U	VK - 55	SCAN - 16
KEY - I	VK - 49	SCAN - 17
KEY - O	VK - 4F	SCAN - 18
KEY - P	VK - 50	SCAN - 19
KEY - [	VK - DB	SCAN - 1A
KEY - ]	VK - DD	SCAN - 1B
KEY - Caps Lock	VK - 14	SCAN - 3A
KEY - Caps Lock	VK - 14	SCAN - 3A
KEY - A	VK - 41	SCAN - 1E
KEY - S	VK - 53	SCAN - 1F
KEY - D	VK - 44	SCAN - 20
KEY - F	VK - 46	SCAN - 21
KEY - G	VK - 47	SCAN - 22
KEY - H	VK - 48	SCAN - 23
KEY - J	VK - 4A	SCAN - 24
KEY - K	VK - 4B	SCAN - 25
KEY - L	VK - 4C	SCAN - 26
KEY - ;	VK - BA	SCAN - 27
KEY - '	VK - DE	SCAN - 28
KEY - \	VK - DC	SCAN - 2B
KEY - Shift	VK - 10	SCAN - 2A
KEY - \	VK - E2	SCAN - 56
KEY - Z	VK - 5A	SCAN - 2C
KEY - X	VK - 58	SCAN - 2D
KEY - C	VK - 43	SCAN - 2E
KEY - V	VK - 56	SCAN - 2F
KEY - B	VK - 42	SCAN - 30
KEY - N	VK - 4E	SCAN - 31
KEY - M	VK - 4D	SCAN - 32
KEY - ,	VK - BC	SCAN - 33
KEY - .	VK - BE	SCAN - 34
KEY - /	VK - BF	SCAN - 35
KEY - Right Shift	VK - 10	SCAN - 36
KEY - Ctrl	VK - 11	SCAN - 1D
KEY - Space	VK - 20	SCAN - 39
KEY - Right Ctrl	VK - 11	SCAN - 1D
KEY - Up	VK - 26	SCAN - 48
KEY - Left	VK - 25	SCAN - 4B
KEY - Down	VK - 28	SCAN - 50
KEY - Right	VK - 27	SCAN - 4D
KEY - Num /	VK - 6F	SCAN - 35
KEY - Num *	VK - 6A	SCAN - 37
KEY - Num -	VK - 6D	SCAN - 4A
KEY - Num 7	VK - 67	SCAN - 47
KEY - Num 8	VK - 68	SCAN - 48
KEY - Num 9	VK - 69	SCAN - 49
KEY - Num +	VK - 6B	SCAN - 4E
KEY - Num 4	VK - 64	SCAN - 4B
KEY - Num 5	VK - 65	SCAN - 4C
KEY - Num 6	VK - 66	SCAN - 4D
KEY - Num 1	VK - 61	SCAN - 4F
KEY - Num 2	VK - 62	SCAN - 50
KEY - Num 3	VK - 63	SCAN - 51
KEY - Num 0	VK - 60	SCAN - 52
KEY - Num Del	VK - 6E	SCAN - 53
KEY - Num Enter	VK - D	SCAN - 1C
